Genus	Species	Subspecies	Name.Clem	Notes	Localities
Campephilus	rubricollis	approshima[illeg.]	Campephilus rubricollis		
Campephilus			Campephilus		Barrigon-1; Lomitas-1; Miraflores-3
Camptostoma	caucae		Camptostoma obsoletum		Miraflores-2; Rio Frio-2
Camptostoma	obsoletum	caucae	Camptostoma obsoletum		Villavicencio-1
Camptostoma	pusillum	mapaeum	Camptostoma obsoletum		Villavicencio-1
Camptostoma	pusillum	pusillum	Camptostoma obsoletum		Chicoral-1; Magdalena River-2
Campylopterus	falcatus		Campylopterus falcatus		Peque-1; Quetame-3; San Agustin-1
Campylopterus	obscurus	aequatorialis	Campylopterus largipennis		La Morelia-1
Campylopterus			Campylopterus falcatus		Buena Vista-1
Campylorhamphus	pusillus		Campylorhamphus pusillus		Alban-1; Barbacoas-1; Cocal-1; Fusugasuga-1; Miraflores-2; San Antonio-1
Campylorhamphus	thoracicus		Campylorhamphus trochilirostris		Buenavista-1
Campylorhamphus	trochilirostris	procurvoides	Campylorhamphus trochilirostris		La Morelia-1
Campylorhamphus	trochilirostris	venezuelensis	Campylorhamphus trochilirostris		Alto Bonito-1; Villavicencio-1
Campylorhynchus	zonatus	brevirostris	Campylorhynchus zonatus		El Consuelo-2; Magdalena River-1; Malena-3; Puerto Berrio-2
Cantorchilus	leucotis		Cantorchilus leucotis		Chicoral-2; Honda-2; Malena-2; Puerto Berrio-3
Cantorchilus	nigricapillus	connectens	Cantorchilus nigricapillus		Barbacoas-6; Cocal-7
Capella	paraguaiae	brasiliensis	Gallinago paraguaiae		Villavicencio-1
Capito	auratus		Capito auratus		Buena Vista-9; Florencia-1; La Morelia-1; Villavicencio-1
Capito	aurovirens		Capito aurovirens		La Morelia-6
Capito	bourcieri	bourcieri	Eubucco bourcierii		Andalucia-1; La Candela-1; La Palma-1; San Agustin-1
Capito	bourcieri	occidentalis	Eubucco bourcierii		Lomitas-1; San Antonio-5
Capito	hypoleucus		Capito hypoleucus		La Frijolera-4; Puerto Valdivia-1
Capito	maculicoronatus	rubrilateralis	Capito maculicoronatus		Alto Bonito-5; Baudo-1; Cisneros-2; Juntas de Tamana-3; Puerto Valdivia-12; Rio Andagueda-2; San Jose-8
Capito	quinticolor		Capito quinticolor		Barbacoas-1
Capito	squamatus		Capito squamatus		Ricaurte-1
Capsiempis	flaveola	leucophrys	Capsiempis flaveola		Chicoral-2
Caracara	cheriway		Caracara cheriway		Bogota-1; Santa Elena-1
Cardellina	canadensis		Cardellina canadensis		Aguadita-1; Alto Bonito-1; Buena Vista-2; Chicoral-1; Choachi-1; El Eden-2; Fusugasuga-2; Rio Frio-1; San Agustin-2; San Antonio-5
Cassidix	orizivora	violea	Molothrus oryzivorus		La Tigrerra-1; Palmira-2
Cassidix	orizyvora	violea	Molothrus oryzivorus		Noanama-2; Novita-1
Cassidix	oryzirora	violea	Molothrus oryzivorus		Buena Vista-1
Cassidix	oryzivora	violea	Molothrus oryzivorus		Barrigon-1; Malena-2
Cassodox	oryzivora	violea	Molothrus oryzivorus		Florencia-1; La Palma-1
Catamblyrhynchus	diadema		Catamblyrhynchus diadema		Coast Range-2; El Eden-3; Salento-1; Santa Elena-1
Catamenia	analoides		Catamenia analis		Subia-1
Catamenia	homochroa		Catamenia homochroa		Choachi-1; Coast Range-2; Laguneta-1; Paramillo-15; Valle de las Papas-2
Catamenia	inornata	minor	Catamenia inornata		Choachi-2; Paramo Santa Isabel-7; Valle de las Papas-4
Cathartes	aura	ruficollis	Cathartes aura		Villavicencio-1
Cathartes	aura		Cathartes aura		Puerto Valdivia-1; Santa Elena-1; Villavicencio-1
Cathartes	melambrotus		Cathartes melambrotus		Villavicencio-1
Catharus	aurantiirostris	insignis	Catharus aurantiirostris		Andalucia-1; San Agustin-2
Catharus	dryas		Catharus dryas		Andalucia-3; Buena Vista-3; La Candela-8
Catharus	minimus		Catharus minimus		Puerto Valdivia-1
Catharus	phaeopleuris		Catharus aurantiirostris		Peque-3
Catharus	phaeopleurus		Catharus aurantiirostris		La Sierra-2; Miraflores-3; Popayan-2
Catharus	ustulatus	swainsoni	Catharus ustulatus		Barro Blanco-2; Buena Vista-3; Chicoral-1; Choachi-3; El Eden-1; El Roble-1; La Sierra-1; Lomitas-1; Miraflores-1; Rio Frio-2; Rio Toche-1; San Antonio-5; Santa Elena-1
Celeus	loricatus	loricatus	Celeus loricatus		Alto Bonito-1; Barbacoas-4; Baudo-1; Novita-1; Puerto Valdivia-1
Cephalopterus	ornatus		Cephalopterus ornatus		Buena Vista-2; Florencia-1
Ceratopipra	erythrocephala	berlepschi	Ceratopipra erythrocephala		Buena Vista-4; Florencia-4; La Morelia-2; Villavicencio-1
Ceratopipra	erythrocephala	erythrocephala	Ceratopipra erythrocephala		Cisneros-1; Puerto Valdivia-7; Rio Frio-1
Ceratopipra	mentalis	minor	Ceratopipra mentalis		Barbacoas-4; Baudo-1; Noanama-2; Novita-1; Rio Frio-1; San Jose-1
Cerchneis	sparveria	ochracea	Falco sparverius		
Cerchneis	sparveria	ochracea	Falco sparverius		
Cercomacra	berlepschi		Cercomacra nigricans		Barbacoas-5; Buenavista-1; Novita-1
Cercomacra	cinerascens		Cercomacra cinerascens		Andalucia-1; Florencia-2
Cercomacra	nigricans		Cercomacra nigricans		Cali-1; Chicoral-1; Honda-4; Magdalena River-3; Malena-5; Nare-2; Novita-1; Puerto Berrio-3; Rio Frio-3; Villavicencio-3
Cercomacra	tyrannina	tyrannina	Cercomacroides tyrannina		Alban-1; Barbacoas-4; Buena Vista-9; La Frijolera-3; Miraflores-2; Puerto Valdivia-5; Rio Frio-1; Villavicencio-4
Cercomacra-or-Myrmelastes					San Antonio-1
Chaetocercus	heliodor		Chaetocercus heliodor		La Tigrerra-1; San Agustin-1
Chaetocercus	mulsant		Chaetocercus mulsant		Barro Blanco-1; Santa Elena-1
Chaetura	brachyura	brachyura	Chaetura brachyura		Villavicencio-2
Chaetura	cinereiventris	fumosa	Chaetura cinereiventris		Juntas de Tamana-2; Novita-1
Chaetura	cinereiventris	occidentalis	Chaetura cinereiventris		Juntas de Tamana-1
Chaetura	cinereiventris	sclateri	Chaetura cinereiventris		Buena Vista-1
Chaetura	spinicaudus		Chaetura spinicaudus		Puerto Valdivia-1
Chalcostigma	herrani		Chalcostigma herrani		Coast Range-3
Chalcostigma	heteropogon		Chalcostigma heteropogon		Tocaimito-2
Chalybura	buffonii	buffonii	Chalybura buffonii		Andalucia-2
Chalybura	buffonii	caeruleogaster	Chalybura buffonii		Buena Vista-2; Villavicencio-2
Chalybura	buffonii		Chalybura buffonii		Alban-1; Andalucia-3; Choachi-2; Cisneros-3; El Consuelo-1; La Candela-3; Miraflores-1; Peque-2; Rio Frio-1; San Agustin-4
Chalybura	urochrysia		Chalybura urochrysia		Alto Bonito-2; Barbacoas-1; Buenaventura-2; Buenavista-3
Chamaepetes	goudotii	goudotii	Chamaepetes goudotii		Laguneta-7; Salento-2
Chamaepetes	goudotii		Chamaepetes goudotii		Almaguer-1; Andalucia-1; La Palma-2
Chamaepetes			Chamaepetes goudotii		Choachi-2; San Antonio-1
Chamaeza	brevicauda	columbiana	Chamaeza campanisona		Buena Vista-5
Chamaeza	brevicauda	nobilis	Chamaeza nobilis		La Morelia-1
Chamaeza	campanisona		Chamaeza nobilis		La Morelia-2
