Institution,CatalogNumberPrefix,Kind of Object,Order,Family,ScientificName,Common Name (Name : Language),Date Collected,Country,ProvinceStateTerritory,PreciseLocation.Verbatim,Elevation.m,Collector,FieldNumber,Sex.Stage,Preparation.Remarks
NMNH,255897,Specimen/Lot,Apodiformes,Trochilidae,Metallura tyrianthina tyrianthina,Tyrian Metaltail (Merida); Tyrian Metaltail,20-Jul-11,Colombia,Cauca,"Popayan, Coast Range W of",3152 m,"Richardson, W. B.",AMNH 109508,Female,Skin: Whole
NMNH,256298,Specimen/Lot,Passeriformes,Parulidae,Myioborus ornatus chrysops,Golden-fronted Redstart (Golden-fronted); Golden-fronted Whitestart,20-Jul-11,Colombia,Cauca,"Popayan, W of, Coast Range",3152 m,"Richardson, W. B.",AMNH 109958,Male,Skin: Whole
NMNH,256297,Specimen/Lot,Passeriformes,Parulidae,Myioborus ornatus chrysops,Golden-fronted Redstart (Golden-fronted); Golden-fronted Whitestart,20-Jul-11,Colombia,Cauca,"Popayan, Coast Range W",3152 m,"Richardson, W. B.",AMNH 109954,unknown,Skin: Whole
NMNH,256037,Specimen/Lot,Passeriformes,Tyrannidae,Ochthoeca rufipectoralis obfuscata,Rufous-breasted Chat-Tyrant,20-Jul-11,Colombia,Cauca,"Popayan, Coast Range W of",3152 m,"Richardson, W. B.",AMNH 109721,unknown,Skin: Whole
NMNH,256036,Specimen/Lot,Passeriformes,Tyrannidae,Ochthoeca rufipectoralis obfuscata,Rufous-breasted Chat-Tyrant,22-Jul-11,Colombia,Cauca,"Popayan, Coast Range W of",3152 m,"Richardson, W. B.",AMNH 109717,Male,Skin: Whole
NMNH,256273,Specimen/Lot,Passeriformes,Emberizidae,Diglossa lafresnayii gloriosissima,Chestnut-bellied Flowerpiercer,23-Jul-11,Colombia,Cauca,"Paramo, Coast Range W of Popayan",3152 m,"Miller, L. E.",AMNH 110081,Male,Skin: Whole
NMNH,256428,Specimen/Lot,Passeriformes,Emberizidae,Atlapetes schistaceus schistaceus,Slaty Brushfinch,23-Jul-11,Colombia,Cauca,"Popayan, W, Coast Range",3152 m,"Richardson, W. B.",110032,Female,Skin: Whole
NMNH,256346,Specimen/Lot,Passeriformes,Emberizidae,Chlorornis riefferii riefferii,Grass-green Tanager,23-Jul-11,Colombia,Cauca,"Popayan, Coast Range W",3152 m,"Richardson, W. B.",,Female,Skin: Whole
NMNH,255898,Specimen/Lot,Apodiformes,Trochilidae,Metallura tyrianthina tyrianthina,Tyrian Metaltail (Merida); Tyrian Metaltail,23-Jul-11,Colombia,Cauca,"Popayan, Coast Range W of",3152 m,"Richardson, W. B.",AMNH 109507,Female,Skin: Whole
NMNH,255899,Specimen/Lot,Apodiformes,Trochilidae,Metallura tyrianthina tyrianthina,Tyrian Metaltail (Merida); Tyrian Metaltail,23-Jul-11,Colombia,Cauca,"Popayan, Coast Range W of",3152 m,"Richardson, W. B.",AMNH 109512,Female,Skin: Whole
NMNH,256326,Specimen/Lot,Passeriformes,Emberizidae,Ramphocelus flammigerus flammigerus,Flame-rumped Tanager,11-Aug-11,Colombia,Valle del Cauca,Cali,1097 m,"Miller, L. E.",,Male,Skin: Whole
