Chapman	Clements	Notes
Phaiolaima rubinoides rubinoides	Heliodoxa rubinoides	NA
Phaiolaima rubinoides aequatorialis	Heliodoxa rubinoides	NA
Heliodoxa leadbeateri	Heliodoxa leadbeateri	NA
Helianthea helianthea	Coeligena helianthea	NA
Helianthea bonapartei	Coeligena bonapartei	NA
Helianthea lutetiae lutetiae	Coeligena lutetiae	NA
Helianthea torquata	Coeligena torquata	NA
Helianthea coeligena columbiana	Coeligena coeligena	NA
Helianthea coeligena ferruginea	Coeligena coeligena	NA
Lafresnayea lafresnayi	Lafresnaya lafresnayi	NA
Lafresnayea saul saul	Lafresnaya lafresnayi	NA
Ensifera ensifera ensifera	Ensifera ensifera	NA
Pterophanes temmincki	Pterophanes cyanopterus	NA
Aglaeactis cupripennis cupripennis	Aglaeactis cupripennis	NA
Boissonneaua jardini	Boissonneaua jardini	NA
Boissonneaua flavescens flavescens	Boissonneaua flavescens	NA
Vestipedes vestitus vestitus	Eriocnemis vestita	NA
Vestipedes vestitus smaragdinipectus	Eriocnemis vestita	NA
Vestipedes paramillo	Eriocnemis vestita	NA
Vestipedes mosquera	Eriocnemis mosquera	NA
Vestipedes aureliae aureliae	Haplophaedia aureliae	NA
Vestipedes aureliae caucensis	Haplophaedia aureliae	NA
Vestipedes derbyi longirostris	Eriocnemis derbyi	NA
Ocreatus underwoodi underwoodi	Ocreatus underwoodii	NA
Urosticte benjamini benjamini	Urosticte benjamini	NA
Adelomyia melanogenys melanogenys	Adelomyia melanogenys	NA
Adelomyia melanogenys cervina	Adelomyia melanogenys	NA
Heliangelus exortis	Heliangelus exortis	NA
Metallura williami	Metallura williami	NA
Metallura tyrianthina tyrianthina	Metallura tyrianthina	NA
Oxypogon stubeli	Oxypogon stuebelii	NA
Chalcostigma herrani	Chalcostigma herrani	NA
Chalcostigma heteropogon	Chalcostigma heteropogon	NA
Ramphomicron microhynchum	Ramphomicron microrhynchum	NA
Opisthroprora euryptera	Opisthoprora euryptera	NA
Cyanolesbia kingi kingi	Aglaiocercus kingii	NA
Cyanolesbia emmae	Aglaiocercus kingii	NA
Cyanolesbia mocoa mocoa	Aglaiocercus kingii	NA
Cyanolesbia coelestis	Aglaiocercus coelestis	NA
Psalidoprymna victoriae victoriae	Lesbia victoriae	NA
Psalidoprymna gouldi gouldi	Lesbia nuna	NA
Schistes geoffroyi	Schistes geoffroyi	NA
Schistes albogularis	Schistes albogularis	NA
Heliothryx barroti	Heliothryx barroti	NA
Anthoscenus longirostris stewartae	Heliomaster longirostris	NA
Calliphlox mitchelli	Philodice mitchellii	NA
Chaetocercus mulsanti	Chaetocercus mulsant	NA
Chaetocercus heliodor	Chaetocercus heliodor	NA
Klais guimete	Klais guimeti	NA
Popelairia conversi	Discosura conversii	NA
Pharomachrus antisiensis	Pharomachrus antisianus	NA
Pharomachrus auriceps	Pharomachrus auriceps	NA
Pharomachrus pavoninus	Pharomachrus pavoninus	NA
Trogonurus personatus	Trogon personatus	NA
Trogonurus assimilis	Trogon personatus	NA
Trogonurus collaris	Trogon collaris	NA
Trogonurus curucui cupreicauda	Trogon rufus	NA
Trogonurus bolivianus	Trogon curucui	NA
Trogon strigilatus strigilatus	Trogon viridis	NA
Trogon strigilatus chionurus	Trogon chionurus	NA
Chrysotrogon caligatus columbianus	Trogon caligatus	NA
Chrysotrogon ramonianus	Trogon ramonianus	NA
Curucujus melanurus melanurus	Trogon melanurus	NA
Curucujus melanurus macrourus	Trogon melanurus	NA
Curucujus massena australis	Trogon massena	NA
Coccyzus melacoryphus	Coccyzus melacoryphus	NA
Coccyzus americanus americanus	Coccyzus americanus	NA
Piaya cayana columbiana	Piaya cayana	NA
Piaya cayana nigricrissa	Piaya cayana	NA
Piaya cayana mesura	Piaya cayana	NA
Piaya rutila rutila	Coccycua minuta	NA
Piaya rutila gracilis	Coccycua minuta	NA
Neomorphus salvini	Neomorphus geoffroyi	NA
