Chapman	Clements	Locality.specific	Locality	Count
Florida caerulea	Egretta caerulea	Malena	Malena	1
Hydranassa tricolor tricolor	Egretta tricolor	Rio Sinu	Rio Sinu	1
Agamia agami	Agamia agami	Salaqui	Salaqui	1
Agamia agami	Agamia agami	Atrato River	Rio Atrato	2
Nycticorax nycticorax naevius	Nycticorax nycticorax	Cali	Cali	2
Nycticorax nycticorax naevius	Nycticorax nycticorax	Rio Frio	Rio Frio	1
Nycticorax nycticorax naevius	Nycticorax nycticorax	La Morelia	La Morelia	1
Nycticorax nycticorax naevius	Nycticorax nycticorax	La Olanda	La Holanda	2
Cochlearius cochlearius	Cochlearius cochlearius	La Olanda	La Holanda	1
Pilherodias pileatus	Pilherodius pileatus	Rio Sinu	Rio Sinu	1
Butorides striata	Butorides striata	Rio Sinu	Rio Sinu	1
Butorides striata	Butorides striata	Atrato River	Rio Atrato	1
Butorides striata	Butorides striata	Quindio	Quibdo	1
Butorides striata	Butorides striata	Barbacoas	Barbacoas	2
Butorides striata	Butorides striata	Tumaco	Tumaco	1
Butorides striata	Butorides striata	Cali	Cali	5
Butorides striata	Butorides striata	La Palma	La Palma	1
Butorides striata	Butorides striata	Chicoral	Chicoral	1
Butorides striata	Butorides striata	Honda	Honda	1
Butorides striata	Butorides striata	La Olanda	La Holanda	1
Butorides striata	Butorides striata	Villavicencio	Villavicencio	1
Butorides striata	Butorides striata	La Morelia	La Morelia	1
Tigrisoma lineatum	Tigrisoma lineatum	Salaqui	Salaqui	1
Tigrisoma lineatum	Tigrisoma lineatum	Atrato River	Rio Atrato	1
Tigrisoma lineatum	Tigrisoma lineatum	Malena	Malena	1
Tigrisoma lineatum	Tigrisoma lineatum	Puerto Berrio	Puerto Berrio	1
Tigrisoma salmoni	Tigrisoma fasciatum	Salento	Salento	1
Tigrisoma salmoni	Tigrisoma fasciatum	Juntas de Tamana	Juntas de Tamana	1
Ixobrychus erythromelas	Ixobrychus exilis	Rio Frio	Rio Frio	1
Ixobrychus exilis bogotensis	Ixobrychus exilis	Bogota (savanna)	Bogota	3
Palamedea cornuta	Anhima cornuta	Cali	Cali	1
Cairina moschata	Cairina moschata	Rio Frio	Rio Frio	2
Dendrocygna bicolor	Dendrocygna bicolor	Cali	Cali	2
Dendrocygna bicolor	Dendrocygna bicolor	La Hererra	La Hererra	1
Dendrocygna discolor	Dendrocygna autumnalis	Cali	Cali	2
Nettion andium	Anas andium	Santa Isabel	Paramo Santa Isabel	1
Querquedula discors	Spatula discors	Cali	Cali	1
Querquedula discors	Spatula discors	Puerto Valdivia	Puerto Valdivia	1
Querquedula cyanoptera	Spatula cyanoptera	Cali	Cali	16
Querquedula cyanoptera	Spatula cyanoptera	Palmira	Palmira	1
Marila nationi	Netta erythrophthalma	Cali (marshes)	Cali	14
Marila affinis	Aythya affinis	Cali (marshes)	Cali	1
