Name	Locality	Count
Psittacara wagleri	La Sierra	1
Psittacara wagleri	Chicoral	2
Eupsittula pertinax	La Playa	4
Eupsittula pertinax	Varrud	1
Eupsittula pertinax	Calamar	4
Eupsittula pertinax	Algodonal	4
Ognorhynchus icterotis	La Frijolera	5
Ognorhynchus icterotis	Coast Range	2
Ognorhynchus icterotis	Miraflores	3
Ognorhynchus icterotis	Rio Toche	12
Pyrrhura calliptera	Fusagasuga	3
Pyrrhura calliptera	Los Robles	3
Pyrrhura calliptera	Subia	7
Pyrrhura melanura	Buenavista	3
Pyrrhura melanura	La Candela	3
Forpus conspicillatus	Andalucia	3
Forpus conspicillatus	Chicoral	5
Forpus conspicillatus	Honda	3
Forpus conspicillatus	Puerto Berrio	6
Forpus conspicillatus	Malena	2
Forpus conspicillatus	Buena Vista	1
Forpus conspicillatus	Barrigon	5
Forpus conspicillatus	Caldas	4
Forpus conspicillatus	San Antonio	1
Forpus conspicillatus	Cali	3
Forpus conspicillatus	La Manuelita	2
Forpus conspicillatus	Miraflores	2
Forpus conspicillatus	Rio Frio	2
Forpus modestus	La Morelia	3
Forpus xanthopterygius	La Playa	3
Forpus xanthopterygius	Calamar	2
Brotogeris jugularis	Honda	4
Brotogeris jugularis	Puerto Berrio	1
Brotogeris jugularis	Malena	5
Brotogeris jugularis	Banco	1
Brotogeris cyanoptera	Barrigon	6
Amazona farinosa	La Vieja	1
Amazona farinosa	Alto Bonito	1
Amazona farinosa	Barrigon	1
Amazona mercenarius	San Antonio	1
Amazona mercenarius	La Sierra	4
Amazona mercenarius	Almaguer	1
Amazona mercenarius	Salento	1
Amazona mercenarius	Laguneta	2
Amazona mercenarius	Paramo Santa Isabel	1
Amazona mercenarius	El Eden	1
Amazona mercenarius	La Palma	3
Amazona mercenarius	Subia	1
Amazona amazonica	Malena	1
Amazona amazonica	La Playa	4
Amazona amazonica	Barrigon	1
Amazona ochrocephala	Villavicencio	2
Amazona ochrocephala	Barrigon	3
Amazona ochrocephala	Honda	2
Amazona ochrocephala	Puerto Berrio	2
Amazona ochrocephala	Malena	2
Amazona ochrocephala	Algodonal	1
Amazona autumnalis	Malena	1
Pionus menstruus	Alto Bonito	5
Pionus menstruus	Barbacoas	4
Pionus menstruus	Cali	1
Pionus menstruus	Guengue	2
Pionus menstruus	Rio Frio	1
Pionus menstruus	Puerto Berrio	2
Pionus menstruus	Buena Vista	1
Pionus menstruus	Villavicencio	1
Pionus tumultuosus	Laguneta	1
Pionus tumultuosus	El Penon	2
Pionus tumultuosus	Los Robles	1
Pionus chalcopterus	Alto Bonito	1
Pionus chalcopterus	Cerro Munchique	1
Pionus chalcopterus	La Florida	2
Pionus chalcopterus	Miraflores	6
Pionus chalcopterus	Los Robles	1
Pionus chalcopterus	El Eden	1
Pionus chalcopterus	La Palma	1
Pionus chalcopterus	La Candela	3
Pionus chalcopterus	San Agustin	1
Pionus chalcopterus	Andalucia	1
Hapalopsittaca amazonina	Los Robles	3
Hapalopsittaca fuertesi	Laguneta	6
Hapalopsittaca fuertesi	Paramo Santa Isabel	1
Pyrilia pulchra	Rio Andagueda	2
Pyrilia pulchra	Noanama	1
Pyrilia pulchra	San Jose	7
Pyrilia pulchra	Barbacoas	3
Pyrilia pyrilia	Alto Bonito	1
Pyrilia pyrilia	Noanama	2
Pyrilia pyrilia	Puerto Valdivia	3
Pyrilia pyrilia	Santa Elena	1
Pionites melanocephalus	Florencia	2
Megaceryle torquata	Cali	4
Megaceryle torquata	Honda	1
Megaceryle torquata	La Playa	1
Megaceryle torquata	Barrigon	1
Chloroceryle amazona	San Jose	1
Chloroceryle amazona	Cali	7
Chloroceryle amazona	Rio Frio	1
Chloroceryle amazona	Chicoral	1
Chloroceryle amazona	Andalucia	1
Chloroceryle amazona	La Morelia	1
Chloroceryle americana	Tumaco	1
Chloroceryle americana	Barbacoas	2
Chloroceryle americana	Cali	5
Chloroceryle americana	Rio Frio	1
Chloroceryle americana	Chicoral	2
Chloroceryle americana	La Morelia	1
Chloroceryle inda	Noanama	1
Chloroceryle inda	Tumaco	1
Chloroceryle inda	Barbacoas	1
Baryphthengus martii	La Morelia	3
Baryphthengus martii	Florencia	2
Baryphthengus martii	Alto Bonito	1
Baryphthengus martii	Baudo	2
Baryphthengus martii	Juntas de Tamana	5
Baryphthengus martii	Barbacoas	6
Baryphthengus martii	Puerto Valdivia	2
Baryphthengus martii	W of Honda	5
Electron platyrhynchum	San Jose	1
Electron platyrhynchum	Alto Bonito	2
Electron platyrhynchum	Florencia	1
Electron platyrhynchum	Puerto Valdivia	4
Momotus subrufescens	La Playa	1
Momotus subrufescens	Algodonal	2
Momotus subrufescens	Remedios	1
Momotus subrufescens	Malena	2
Momotus subrufescens	W of Honda	7
Momotus subrufescens	Chicoral	1
Momotus subrufescens	Salaqui	1
Momotus subrufescens	Rio Atrato	2
Momotus momota	Florencia	5
Momotus momota	La Morelia	4
Momotus momota	Villavicencio	3
Momotus momota	Barrigon	1
Momotus aequatorialis	San Antonio	4
Momotus aequatorialis	La Florida	1
Momotus aequatorialis	Miraflores	3
Momotus aequatorialis	Salento	6
Momotus aequatorialis	Santa Elena	1
Momotus aequatorialis	Rio Toche	2
Momotus aequatorialis	La Palma	1
Momotus aequatorialis	San Agustin	1
Momotus aequatorialis	Andalucia	3
Hylomanes momotula	Dabeiba	5
Nyctibius aethereus	Novita	2
Chordeiles acutipennis	Rio San Juan	1
Chordeiles acutipennis	Turbaco	1
Chordeiles acutipennis	Algodonal	1
Chordeiles acutipennis	Calamar	1
Chordeiles acutipennis	Noanama	2
Lurocalis rufiventris	Aguadita	7
Lurocalis rufiventris	Subia	3
Uropsalis lyra	W of Honda	3
Hydropsalis climacocerca	La Morelia	4
Nyctidromus albicollis	Novita	1
Nyctidromus albicollis	Cisneros	1
Nyctidromus albicollis	Barbacoas	1
Nyctidromus albicollis	Ricaurte	1
Nyctidromus albicollis	San Antonio	1
Nyctidromus albicollis	Cali	1
Nyctidromus albicollis	Rio Frio	4
Nyctidromus albicollis	Puerto Valdivia	1
Nyctidromus albicollis	La Sierra	2
Nyctidromus albicollis	La Candela	2
Nyctidromus albicollis	Chicoral	1
Nyctidromus albicollis	Puerto Berrio	2
Nyctidromus albicollis	Malena	4
Nyctidromus albicollis	Algodonal	1
Nyctidromus albicollis	Buena Vista	1
Nyctidromus albicollis	Villavicencio	2
Hydropsalis cayennensis	La Playa	2
Hydropsalis cayennensis	Villavicencio	3
Hydropsalis cayennensis	San Antonio	4
Systellura longirostris	Tumaco	1
Systellura longirostris	Coast Range	2
Systellura longirostris	La Sierra	1
Systellura longirostris	Laguneta	8
Systellura longirostris	El Eden	1
Systellura longirostris	Chipaque	1
Nyctiphrynus rosenbergi	Barbacoas	2
Streptoprocne zonaris	Laguneta	1
Streptoprocne zonaris	Alto Bonito	2
Streptoprocne zonaris	Dabeiba	3
Streptoprocne zonaris	Cisneros	1
Streptoprocne zonaris	Lomitas	2
Streptoprocne zonaris	San Antonio	2
Streptoprocne zonaris	Chicoral	1
Streptoprocne zonaris	Honda	1
Streptoprocne zonaris	Quetame	3
Streptoprocne zonaris	Buena Vista	6
Streptoprocne zonaris	Villavicencio	1
Chaetura spinicaudus	Juntas de Tamana	2
Chaetura spinicaudus	Novita	1
