dynamicproperties	catalognumber	recordnumber	recordedby	sex	lifestage	reproductivecondition	preparations	occurrenceremarks	fieldnumber	eventdate	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	eventremarks	country	countrycode	stateprovince	locality	decimallatitude	decimallongitude	georeferenceddate	scientificname	class	order	family	genus	specificepithet	infraspecificepithet	underivedlifestage	underivedsex
	19059		Unknown				study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Atlapetes schistaceus	Aves	Passeriformes	Emberizidae	Atlapetes	schistaceus			
	5283		Unknown	male			study skin	From the collection of Frank S. Wright.  Numbers 15/14 and 1811 are recorded on the original label.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Heliomaster longirostris longirostris	Aves	Apodiformes	Trochilidae	Heliomaster	longirostris	longirostris		male
	15851		Unknown	in question			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Cyanerpes caeruleus	Aves	Passeriformes	Thraupidae	Cyanerpes	caeruleus			in question
	22874		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Tangara ruficervix	Aves	Passeriformes	Thraupidae	Tangara	ruficervix			male
	20717		Unknown	male			study skin			1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Piranga rubiceps	Aves	Passeriformes	Cardinalidae	Piranga	rubiceps			male
	4552		Unknown	male			study skin	From the collection of Frank S. Wright.  No. 184 is recorded on the original label.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Amazilia viridigaster	Aves	Apodiformes	Trochilidae	Amazilia	viridigaster			male
	5084		Unknown	female			study skin	From the collection of H.K. Coale, No. 27039.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Boissonneaua flavescens	Aves	Apodiformes	Trochilidae	Boissonneaua	flavescens			female
	22849		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Tangara labradorides	Aves	Passeriformes	Thraupidae	Tangara	labradorides			male
	18220		Unknown	undetermined			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Catamblyrhynchus diadema	Aves	Passeriformes	Thraupidae	Catamblyrhynchus	diadema			unknown
	5120		Unknown	female			study skin	From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, 27053.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Haplophaedia aureliae aureliae	Aves	Apodiformes	Trochilidae	Haplophaedia	aureliae	aureliae		female
	5192		Unknown	male			study skin	From the collection of H.K. Coale, No. 16425; Brodkorb No. 3875.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Metallura tyrianthina tyrianthina	Aves	Apodiformes	Trochilidae	Metallura	tyrianthina	tyrianthina		male
	18161		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Chlorophonia pyrrhophrys	Aves	Passeriformes	Thraupidae	Chlorophonia	pyrrhophrys			male
	16976		Unknown				study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Basileuterus luteoviridis	Aves	Passeriformes	Parulidae	Basileuterus	luteoviridis			
	5083		Unknown	male			study skin	From the collection of H.K. Coale, No. 23941.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Boissonneaua flavescens	Aves	Apodiformes	Trochilidae	Boissonneaua	flavescens			male
	20850		Unknown	male			study skin	From the collection of Frank S Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Euphonia concinna	Aves	Passeriformes	Fringillidae	Euphonia	concinna			male
	34203		Unknown	male			study skin	From the Rivola collection.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Catamblyrhynchus diadema	Aves	Passeriformes	Thraupidae	Catamblyrhynchus	diadema			male
	4656		Unknown	male			study skin	From the collection of Louis Agassiz Fuertes.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Chlorostilbon gibsoni	Aves	Apodiformes	Trochilidae	Chlorostilbon	gibsoni			male
	19060		Unknown	male			study skin	From the collection of Frank S Wright.		1886	NA	NA	1886	NA	NA	1886		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Atlapetes schistaceus	Aves	Passeriformes	Emberizidae	Atlapetes	schistaceus			male
	22882		Unknown				study skin	From the collection of Frank S Wright.		1866	NA	NA	1866	NA	NA	1866		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Tangara inornata	Aves	Passeriformes	Thraupidae	Tangara	inornata			
	22863		Unknown				study skin	From the collection of Frank S Wright.		1875	NA	NA	1875	NA	NA	1875		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Tangara nigrocincta	Aves	Passeriformes	Thraupidae	Tangara	nigrocincta			
	7510		Unknown	male			study skin	From the collection of Frank S Wright.		1903	NA	NA	1903	NA	NA	1903		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Ochthoeca cinnamomeiventris	Aves	Passeriformes	Tyrannidae	Ochthoeca	cinnamomeiventris			male
	20954		Unknown	undetermined			study skin	From the collection of Frank S Wright.		1885	NA	NA	1885	NA	NA	1885		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Bangsia montana	Aves	Passeriformes	Thraupidae	Bangsia	montana			unknown
	8334		Unknown	female			study skin	From the collection of Frank S Wright.		1903	NA	NA	1903	NA	NA	1903		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Mecocerculus leucophrys setophagoides	Aves	Passeriformes	Tyrannidae	Mecocerculus	leucophrys	setophagoides		female
	22886		Unknown	male			study skin	From the collection of Frank S Wright.		1890	NA	NA	1890	NA	NA	1890		Colombia	CO	Cundinamarca	Bogota; istrito Capital de	4.609866	-74.08205	2009-07-07	Tangara gyrola	Aves	Passeriformes	Thraupidae	Tangara	gyrola			male
	A-0001108		unknown				whole organism (unknown) - 1	collected with CU 11846	Z1108	1860-01-01	1	1	1860	1	1	0/0/0	recieved from T. Barbour, Cambridge Museum of Natural History	Colombia	CO		Bogota, Villacencio	NA	NA		Acris crepitans	Amphibia	Anura	Hylidae	Acris	crepitans			
	A-0011846		unknown				whole organism (unknown) - 1	collected with CU 1108	Z11846	1860-01-01	1	1	1860	1	1	0/0/0	received from T. Barbour, Cambridge Museum of Natural History	Colombia	CO		Bogota, Villacencio	NA	NA		Acris crepitans	Amphibia	Anura	Hylidae	Acris	crepitans			
	R-0011278	KKA 97	unknown				whole organism (isopropanol) - 1		R11278	1860-01-01	1	1	1860	1	1	0---2014-01-01		Colombia	CO		Baranquilla	NA	NA		Trachemys scripta	Reptilia	Testudines	Emydidae	Trachemys	scripta			
	A-0001095		unknown				whole organism (isopropanol) - 2	Originally catalouged as Phyllobates subpunctatus.	Z1095	1860-01-01	1	1	1860	1	1	0/0/0		Colombia	CO		Choachi	NA	NA		Colostethus subpunctatus	Amphibia	Anura	Dendrobatidae	Colostethus	subpunctatus			
	5455		H. Whitely	male			study skin	From the collection of Frank S. Wright.  The number 139/1 is recorded on the original label.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO		unspecified	NA	NA		Lophornis delattrei	Aves	Apodiformes	Trochilidae	Lophornis	delattrei			male
{colors:Bill color: black; Leg color: black }	7564		Mervyn G. Palmer	male			study skin	From the collection of Frank S Wright.		1907-08-06	218	218	1907	8	6	1907-08-06		Colombia	CO		Jimenez, West Colombia, elevation 1600 ft.	NA	NA		Sayornis nigricans latirostris	Aves	Passeriformes	Tyrannidae	Sayornis	nigricans	latirostris		male
{colors:Bill color: dark brown; Leg color: black }	7582		Mervyn G. Palmer	male			study skin	From the collection of Frank S Wright.		1907-06-18	169	169	1907	6	18	1907-06-18		Colombia	CO		Atuncela, elevation 3000 ft.	NA	NA		Pyrocephalus rubinus obscurus	Aves	Passeriformes	Tyrannidae	Pyrocephalus	rubinus	obscurus		male
	4489		Unknown	male	immature		study skin	From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 16987.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO		unspecified	NA	NA		Florisuga mellivora	Aves	Apodiformes	Trochilidae	Florisuga	mellivora		immature	male
	4527		Unknown	male			study skin	From the collection of Louis Agassiz Fuertes.  Previously from the colleciton of H.K. Coale, No. 16421.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO		unspecified	NA	NA		Amazilia cyanifrons	Aves	Apodiformes	Trochilidae	Amazilia	cyanifrons			male
	4638		Unknown	male			study skin	From the collection of Frank S. Wright.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO		unspecified	NA	NA		Damophila julie julie	Aves	Apodiformes	Trochilidae	Damophila	julie	julie		male
	4676		Unknown	male	immature		study skin	From the collection of Frank S. Wright.  Previously from the collection of H.K. Coale, No. 19704.		1860-01-01	1	1	1860	1	1	1860-01-01		Colombia	CO		unspecified	NA	NA		Chlorostilbon poortmani	Aves	Apodiformes	Trochilidae	Chlorostilbon	poortmani		immature	male
