Name.Verb	Subspecies	Name.Clem	Localities
Amazilia saucerrottei		Amazilia saucerottei	
Ampelion rubrocristata		Ampelion rubrocristatus	El Penon-1
Anisognathus flavinuchus		Anisognathus somptuosus	Fusagasuga-2; Miraflores-2
Ara severa	castaneifrons	Ara severus	Palmira-1
Ara severa		Ara severus	Palmira-1
Aratinga pertinax	aeruginosa	Eupsittula pertinax	Calamar-3
Aratinga wagleri	wagleri	Psittacara wagleri	Honda-1; Miraflores-1; Palmira-2; San Antonio-1
Aratinga wagleri		Psittacara wagleri	Honda-1; Miraflores-1; Palmira-2; San Antonio-1
Atlapetes brunneinucha		Arremon brunneinucha	Buena Vista-1; Fusagasuga-1; Miraflores-1; San Antonio-1
Atlapetes gutturalis		Atlapetes albinucha	Fusagasuga-1; Miraflores-1; San Antonio-1
Atlapetes torquatus		Arremon assimilis	Chipaque-2
Bangsia montana		Buthraupis montana	Laguneta-1
Basileuterus auricapillus		Basileuterus culicivorus	Buena Vista-2
Basileuterus cinereicollis		Myiothlypis cinereicollis	Buena Vista-1
Basileuterus nigrocristatus		Myiothlypis nigrocristata	Laguneta-1
Basileuterus rivularis		Myiothlypis fulvicauda	
Brachygalba fulviventris	fulviventris	Brachygalba lugubris	Villavicencio-1
Buteo magnirostris		Rupornis magnirostris	La Manuelita-1; Remolino-1
Butorides striatus	striatus	Butorides striata	Cali-2
Calliphlox mitchelli		Philodice mitchellii	Miraflores-1
Campephilus malherbii		Campephilus melanoleucos	Miraflores-1; San Antonio-1
Caprimulgus longirostris	ruficervix	Systellura longirostris	Chipaque-1
Carduelis psaltria	colombianus	Spinus psaltria	Buena Vista-1; Miraflores-1; Quetame-1
Carduelis xanthogastra		Spinus xanthogastrus	San Antonio-1
Cercomacra tyrannina	rufiventris	Cercomacroides tyrannina	Villavicencio-2
Cercomacra tyrannina	tyrannina	Cercomacroides tyrannina	Villavicencio-2
Certhiaxis cinnamomea	fuscifrons	Certhiaxis cinnamomeus	Gamarra-2
Chamaeza brevicauda	columbiana	Chamaeza nobilis	Buena Vista-4
Chloropipo holochlora	holochlora	Cryptopipo holochlora	Villavicencio-1
Chlorospingus ophthalmicus		Chlorospingus flavopectus	Miraflores-1
Cissopis leveriana		Cissopis leverianus	Buena Vista-1; Monteredondo-1
Coccyzus pumilus		Coccycua pumila	
Coereba luteola		Coereba flaveola	_Icononzo-1
Columba cayennensis		Patagioenas cayennensis	Miraflores-1; Palmira-1
Columba fasciata	albilinea	Patagioenas fasciata	Miraflores-1; San Antonio-2
Columba plumbea	delicata	Patagioenas plumbea	Buena Vista-1
Columba speciosa		Patagioenas speciosa	Villavicencio-1
Dacnis angelica			
Dacnis coerebicolor		Dacnis cayana	
Dacnis egregia		Dacnis lineata	
Dendrocincla meruloides	lafresnayi	Dendrocincla fuliginosa	_Guengue-1
Diglossa 			
Diglossa personata		Diglossa ?cyanea?	Fusagasuga-1; Laguneta-1; Los Robles-1
Donacobius atricapillus	atricapillus	Donacobius atricapilla	Puerto Berrio-3; Villavicencio-2
Donacobius atricapillus		Donacobius atricapilla	Puerto Berrio-3; Villavicencio-2
Galbula melanogenia		Galbula ruficauda	
Gallinula melanops	bogotensis	Porphyriops melanops	Bogota-2
Geotrygon frenata	bourcieri	Zentrygon frenata	Miraflores-1; San Antonio-1
Geotrygon linearis		Zentrygon linearis	Buena Vista-1
