Institution	CatalogNumberPrefix	CatalogNumber	CatalogNumberSuffix	CollectorName	CollectorNumber	Order	Family	Genus.Verb	Species.Verb	Subspecies.Verb	Genus.Clem	Species.Clem	Sex.Verbatim	Sex	Age	Country	ProvinceStateTerritory	PreciseLocation.Verbatim	Locality	Elevation.Verbatim	LatitudeDecimal	LongitudeDecimal	Date.From	Date.To	Date.Verbatim	Year	Month	Day	Date	ExpeditionName	ReproductiveNotes	SoftPartColorNotes	Preparation.Description	Remarks	CollectionName	InventoryStatus	InventoryDateRecorded	DeaccessionDate	DeaccessionMethod	DeaccessionNotes	AccessionNumber
CUMV	NA	23008	NA	Louis Agassiz Fuertes		NA	Thraupidae	Eucometis	penicillata		Eucometis	penicillata	NA	male		Colombia	Tolima	Honda	Honda	NA	5.2	-74.74	36	36	2/5/13	1913	2	5	1913.02.05	NA			study skin	Expedition no. 7; Site no. 98		NA	NA	NA	NA	NA	NA
CUMV	NA	7146	NA	Louis Agassiz Fuertes	LAF 2813	NA	Thamnophilidae	Myrmeciza	immaculata	immaculata	Hafferia	immaculata	NA	male		Colombia	Tolima	El Consuelo, eastern ridge above Honda	El Consuelo	NA	5.094398	-74.609574	36	36	2/5/13	1913	2	5	1913.02.05	NA			study skin	Dates match Chapman expedition no. 7, Site no. 98 but locality matches El Consuelo (site no. 97)		NA	NA	NA	NA	NA	NA
CUMV	NA	17634	NA	Louis Agassiz Fuertes		NA	Icteridae	Icterus	auricapillus		Icterus	auricapillus	NA	female		Colombia	Cundinamarca	Honda	Honda	NA	5.15	-74.5	36	36	2/5/13	1913	2	5	1913.02.05	NA			study skin	Chapman expedition no. 7; Site no. 98, above Honda (3200')		NA	NA	NA	NA	NA	NA
CUMV	NA	5075	NA	Louis Agassiz Fuertes	LAF 3151	NA	Trochilidae	Boissonneaua	flavescens		Boissonneaua	flavescens	NA	male		Colombia	Cundinamarca	Choachi	Choachi	NA	NA	NA	36	36	2/5/13	1913	2	5	1913.02.05	NA			study skin		From the collection of Louis Agassiz Fuertes.	NA	NA	NA	NA	NA	NA
CUMV	NA	7487	NA	Louis Agassiz Fuertes		NA	Cotingidae	Schiffornis	turdinus	stenorhynchus	Schiffornis	stenorhyncha	NA	male		Colombia	Tolima	El Consuelo, eastern ridge above Honda; Colombia, Tolima	El Consuelo	NA	5.094398	-74.609574	37	37	2/6/13	1913	2	6	1913.02.06	NA	gonads not enlarged	{colors:Bill color: bluish, see tag; Leg color: dark lilac }	study skin		From the collection of Louis Agassiz Fuertes. Marked as female in Fuertes' catalog.	NA	NA	NA	NA	NA	NA
CUMV	NA	20721	NA	Louis Agassiz Fuertes		NA	Cardinalidae	Piranga	rubra	rubra	Piranga	rubra	NA	male	immature	Colombia	Tolima	Honda	Honda	NA	5.2	-74.74	37	37	2/6/13	1913	2	6	1913.02.06	NA			study skin			NA	NA	NA	NA	NA	NA
CUMV	NA	7454	NA	Louis Agassiz Fuertes		NA	Pipridae	Corapipo	leucorrhoa	leucorrhoa	Corapipo	leucorrhoa	NA	male		Colombia	Tolima	Honda	Honda	NA	5.2	-74.74	37	37	2/6/13	1913	2	6	1913.02.06	NA	testes enlarged		study skin	Expedition no. 7, Site no. 98		NA	NA	NA	NA	NA	NA
CUMV	NA	7148	NA	Louis Agassiz Fuertes	LAF 2817	NA	Thamnophilidae	Myrmeciza	immaculata	immaculata	Hafferia	immaculata	NA	male		Colombia	Tolima	El Consuelo, eastern ridge above Honda; Colombia, Tolima	El Consuelo	NA	5.094398	-74.609574	37	37	2/6/13	1913	2	6	1913.02.06	NA	testes not enlarged	{colors:Bill color: black; Leg color: black }	study skin	Dates match Chapman expedition no. 7, Site no. 98 but locality matches El Consuelo (site no. 97)	eyespace blue, white behind eye	NA	NA	NA	NA	NA	NA
CUMV	NA	14233	NA	Louis Agassiz Fuertes	LAF 2821	NA	Turdidae	Catharus	minimus		Catharus	minimus	NA	male		Colombia	Tolima	El Consuelo, Honda, elevation 3000 feet	El Consuelo	NA	NA	NA	37	37	2/6/13	1913	2	6	1913.02.06	NA			study skin		See original label for subspecies information	NA	NA	NA	NA	NA	NA
CUMV	NA	4564	NA	Louis Agassiz Fuertes	LAF 2823	NA	Trochilidae	Amazilia	tzacatl	tzacatl	Amazilia	tzacatl	NA	male		Colombia	Tolima	above Honda, elevation 2700 feet	El Consuelo	NA	NA	NA	37	37	2/6/13	1913	2	6	1913.02.06	NA	Testes slightly enlarged.		study skin		From the collection of Louis Agassiz Fuertes.	NA	NA	NA	NA	NA	NA
